"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"アトム調剤薬局","〒111－0032 台東区浅草七丁目３番６号　タテマツビル１階","03-6802-3673","株式会社　カテラ　代表取締役　岡田　浩孝","森川　可奈子","薬局現存"
"すずらん調剤薬局","〒111－0032 台東区浅草四丁目３４番５号","03-5603-5002","株式会社　日本ホップス　代表取締役　鶴岡　登","竹井　美代江","薬局現存"
"万代薬局　入谷口店","〒110－0005 台東区上野七丁目７番６号　ＭＰＲ上野駅前ビル１階","03-5811-1731","株式会社　万代薬局　代表取締役　唐木　一郎","菊池　美由紀","薬局現存"
"いずみ薬局","〒110－0004 台東区下谷二丁目５番１２号　サンパークマンション鶯谷１０１","03-3871-7369","有限会社　ドラッグハタ　取締役　大山　学","山田　晴紀","薬局現存"
"町の薬局","〒111－0021 台東区日本堤一丁目５番３号　池田屋ビル１階","03-5808-7944","有限会社　ヱド川薬局　代表取締役　田中　千裕","鈴木　敏江","薬局現存"
"ナチュラルローソンクオール薬局　東上野五丁目店","〒110－0015 台東区東上野五丁目２番２号","03-5827-3689","クオール　株式会社　代表取締役　荒木　勲","野本　幹雄","薬局現存"
"元浅草アイアイ薬局","〒111－0041 台東区元浅草四丁目８番５号　泉コーポ１０２号","03-5811-1625","有限会社　メディコ　代表取締役　雨宮　恵司","溝呂木　俊介","薬局現存"
"薬局マツモトキヨシ　浅草橋駅前店","〒111－0053 台東区浅草橋一丁目１８番１０号　アックビル２階","03-3863-9225","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","内藤　有紀","薬局現存"
"国際通り薬局","〒111－0042 東京都台東区寿一丁目１８番１号　サンライズ浅草ビル１階","03-5827-1125","株式会社　ＭＡ．Ｄｒｅａｍ　代表取締役　渡邉　信彦","渡邉　信彦","薬局現存"
"ウエルシア台東入谷調剤薬局","〒110－0014 台東区北上野二丁目３０番７号","03-5830-8012","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","渡邊　友希","薬局現存"
"フカイチ薬局　東上野店","〒110－0015 台東区東上野一丁目７番２号　冨田ビル１階奥","03-5817-8580","株式会社　フカイチ　代表取締役　加藤　聖樹","福居　貴子","薬局現存"
"日生薬局　秋葉原店","〒110－0016 台東区台東一丁目４番２号　Ｃａｓａ　Ｖｅｒｄｅ１階","03-6284-4990","ミアヘルサ　株式会社　代表取締役　青木　勇","門脇　文","薬局現存"
"大東薬局","〒111－0024 台東区今戸二丁目２８番９－１０１号","03-5824-2255","長島　君江","長島　君江","薬局現存"
"薬ヒグチ調剤薬局　千束店","〒111－0031 台東区千束三丁目２０番２号","03-5808-1887","ファーマライズ　株式会社　代表取締役　松浦　惠子","髙木　敏光","薬局現存"
"あかまつ薬局　東上野店","〒110－0015 台東区東上野一丁目７番１２号　徳永ビル１０１号","03-6876-4042","株式会社　ホームケアファーマシー　代表取締役　小森　元樹","小泉　かおり","薬局現存"
"ぱぱす薬局　浅草４丁目店","〒111－0032 台東区浅草四丁目３５番３号　浅草共同ビル１階","03-5808-4188","株式会社　ぱぱす　代表取締役　根津　孝一","肥留川　愛里","薬局現存"
"アイン薬局　千束店","〒111－0031 台東区千束三丁目２３番９号","03-3875-8281","株式会社　アインファーマシーズ　代表取締役　大石　美也","船水　典子","薬局現存"
"万代薬局　谷中店","〒110－0001 台東区谷中三丁目１３番８号　カーサ・サトウ１階１０１号室","03-5809-0961","株式会社　万代薬局　代表取締役　唐木　一郎","山口　駿","薬局現存"
"スギ薬局　上野駅前店","〒110－0005 台東区上野四丁目１０番５号　世界ビル１階","03-6284-2525","株式会社　スギ薬局　代表取締役　原　栄一","髙橋　優太","薬局現存"
"アガペ鳥越薬局","〒111－0054 台東区鳥越二丁目８番９号　ＹＳビル１階","03-5829-5737","株式会社　アガペ　代表取締役　藤木　一行","竹田　玲子","薬局現存"
"万代薬局　アメ横店","〒110－0005 台東区上野六丁目２番１５号　関根ビル１階２階","03-5817-4940","株式会社　万代薬局　代表取締役　唐木　一郎","唐木　一郎","薬局現存"
"クオール薬局　ＢＩＮＯ御徒町店","〒110－0005 台東区上野三丁目２１番５号　ＢＩＮＯ御徒町２階","03-6284-4589","クオール　株式会社　代表取締役　荒木　勲","鶴賀　伶","薬局現存"
"アトム調剤薬局　千束通り店","〒111－0032 台東区浅草五丁目６５番３号　１階","03-6458-1143","株式会社　カテラ　代表取締役　岡田　浩孝","猪野　光夫","薬局現存"
"ほてい薬局","〒131－0032 墨田区東向島二丁目１番７号","03-3611-0009","山内化成　有限会社　山内　不二男","山内　不二男","薬局現存"
"鳥居薬品　株式会社　鳥居薬局","〒130－0001 墨田区吾妻橋二丁目２番９号","03-3622-2001","鳥居薬品　株式会社　代表取締役　鳥居　徹也","鳥居　徹也","薬局現存"
"有限会社　アサヒ薬局","〒131－0031 墨田区墨田三丁目４２番７号","03-3610-4976","有限会社　アサヒ薬局　代表取締役　佐藤　かなえ","佐藤　かなえ","薬局現存"
"宮内薬局","〒130－0011 墨田区石原二丁目１５番１１号","03-3622-1056","有限会社　宮内薬品　取締役　高瀬　康","高瀬　直子","薬局現存"
"日ノ丸薬局本店","〒130－0022 墨田区江東橋二丁目１６番８号","03-3631-1823","日ノ丸薬業　株式会社　代表取締役　荻原　弘司郎","坂井　常治","薬局現存"
"有限会社　森薬局","〒130－0026 墨田区両国二丁目１８番１号","03-3631-5359","有限会社　森薬局　代表取締役　森　信之","森　信之","薬局現存"
"コバヤシ薬局","〒130－0023 墨田区立川二丁目４番９号","03-3633-3470","小林　英夫","小林　英夫","薬局現存"
"長濱薬局","〒131－0046 墨田区京島三丁目６２番１６号","03-3611-1081","長濱　憲志","長濱　憲志","薬局現存"
"齋藤薬局","〒130－0025 墨田区千歳一丁目５番１３号","03-3631-3784","齋藤　男","齋藤　男","薬局現存"
"竹内調剤薬局","〒130－0022 墨田区江東橋四丁目２２番９号","03-3633-8080","株式会社　竹内調剤薬局　代表取締役　竹内　稔","渡邊　克志","薬局現存"
"すずかぜ薬局","〒130－0022 墨田区江東橋四丁目１５番５号　立田第九ビル","03-3634-3575","株式会社　フォーラル　代表取締役　松村　達","後藤　敦子","薬局現存"
"スエヤス薬局　向島店","〒131－0033 墨田区向島一丁目２５番１２号","03-3622-7302","株式会社　スエヤス　代表取締役　末田　紀之","鈴木　亨弘","薬局現存"
"石川薬局","〒131－0034 墨田区堤通二丁目７番３５号","03-3616-3035","有限会社　石川薬局　代表取締役　石川　茂久","今村　宗一郎","薬局現存"
"サファイア薬局","〒130－0005 墨田区東駒形三丁目５番１１号","03-3622-4881","有限会社　ドラッグストアサファイヤ　代表取締役　小林　充","髙久　美保","薬局現存"
"秀和薬局","〒131－0033 墨田区向島五丁目５０番７号","03-3616-3538","有限会社　秀和　代表取締役　黒森　正美","下平　哲志","薬局現存"
"十字堂薬局","〒130－0021 墨田区緑一丁目１９番８号","03-3632-5220","株式会社　十字堂薬局　代表取締役　伊藤　陽一郎","伊藤　武代","薬局現存"
"タマノイ調剤薬局","〒131－0032 墨田区東向島五丁目３７番１１号","03-3616-1561","有限会社　システム・エムアンピー　代表取締役　秋川　満","小林　美規","薬局現存"
"だるま堂薬局","〒130－0022 墨田区江東橋四丁目１５番５号","03-3631-5667","株式会社　エムケイメディカル　代表取締役　古川　敎子","川松　いずみ","薬局現存"
"ヒカリ薬局","〒131－0046 墨田区京島三丁目３３番７号","03-3618-1507","近藤　京子","近藤　制子","薬局現存"
"フタバ薬局","〒131－0033 墨田区向島五丁目４１番３号","03-3622-3684","西岡　君子","西岡　君子","薬局現存"
"今井薬局","〒131－0043 墨田区立花一丁目１２番６号","03-3612-2790","有限会社　今井薬局　代表取締役　今井　靖子","今井　靖子","薬局現存"
"横川調剤薬局","〒130－0012 墨田区太平三丁目１９番４号　小山ビル１階","03-3829-5686","有限会社　オダファーマシー　代表取締役　小田　壮州","土屋　知英子","薬局現存"
"スズカ薬局","〒131－0041 墨田区八広四丁目４８番５号　エコビアビル１階","03-3610-7045","森　忠史","森　裕子","薬局現存"
"錦糸薬局","〒130－0013 墨田区錦糸三丁目５番８号　ソアビル１階","03-3829-5728","有限会社　オダファーマシー　代表取締役　小田　壮州","藤田　健士","薬局現存"
"すみれ調剤薬局","〒131－0032 墨田区東向島五丁目１３番６号","03-3616-3576","有限会社　ホリスティックメディカル　代表取締役　佐藤　美奈子","小松　魅侑爾","薬局現存"
"キク薬局","〒131－0046 墨田区京島三丁目４２番８号","03-3611-5249","株式会社　キク薬局　代表取締役　新井　輝雄","新井　直樹","薬局現存"
"須崎薬局","〒131－0033 墨田区向島四丁目２番１号","03-3622-0836","株式会社　スサキ　代表取締役　田口　善一","田口　惠美子","薬局現存"
"ウサギの子薬局","〒131－0031 墨田区墨田三丁目３９番７号","03-3611-2725","株式会社　ラ・ベール青山　代表取締役　青山　晰子","青山　晰子","薬局現存"
"つくし薬局","〒131－0041 墨田区八広一丁目３９番８号　第二美津栄荘１階","03-3616-3546","有限会社　ホリスティックメディカル　代表取締役　佐藤　美奈子","日下　子","薬局現存"
"メディトピア向島薬局","〒131－0032 墨田区東向島六丁目６２番９号　寺島ハイツ１階","03-3612-7431","株式会社　メディトピア　代表取締役　小井戸　勝","木部　聖子","薬局現存"
"メディトピア錦糸調剤薬局","〒130－0012 墨田区太平三丁目１９番７号","03-3621-5891","株式会社　メディトピア　代表取締役　小井戸　英勝","仲田　英司","薬局現存"
"亀沢薬局","〒130－0014 墨田区亀沢二丁目１２番２号　メゾン錦糸町１階","03-3829-1188","有限会社　エスアンドオー　代表取締役　澤井　眞太郎","澤井　眞太郎","薬局現存"
"かちどき薬局　向島店","〒131－0041 墨田区八広一丁目４番４号","03-3613-4691","かちどき薬品　株式会社　代表取締役　町田　剛","新井　晴子","薬局現存"
"押上調剤薬局","〒131－0045 墨田区押上二丁目１０番８号　ライフコア押上１０３号","03-3622-0519","有限会社　請地　代表取締役　粕谷　正樹","粕谷　正樹","薬局現存"
"勉強堂薬局","〒130－0004 墨田区本所二丁目１５番１２号","03-3622-7330","有限会社　山田勉強堂ドラッグ　代表取締役　山田　晃子","山田　晃子","薬局現存"
"のぞみ薬局","〒130－0013 墨田区錦糸三丁目１４番３号　プリマベラール福地１０２","03-3829-5599","有限会社　エスアンドオー　澤井　眞太郎","八木　香織","薬局現存"
"フタバ調剤薬局","〒131－0033 墨田区向島五丁目５０番１３号","03-3616-6573","有限会社　クローバー　取締役　西岡　秀純","西岡　和子","薬局現存"
"錦糸薬局　アルカ店","〒130－0013 墨田区錦糸三丁目２番１号　アルカタワーズイースト１０２","03-3829-5566","有限会社　オダファーマシー　代表取締役　小田　壮州","秋田　道子","薬局現存"
"武井薬局","〒130－0012 墨田区太平一丁目２２番１３号　武井ビル１階","03-3625-3421","有限会社　武井薬局　代表取締役　武井　良輔","武井　良輔","薬局現存"
"鐘ヶ渕薬局","〒131－0031 墨田区墨田二丁目１２番８号　１階","03-3611-6478","有限会社　鐘ヶ渕薬局　代表取締役　濵野　明子","濵野　明子","薬局現存"
"スサキ中央薬局","〒131－0033 墨田区向島五丁目３３番５号","03-5619-7181","株式会社　スサキ　代表取締役　田口　善一","田口　善一","薬局現存"
"あけぼの薬局　墨田店","〒131－0044 墨田区文花一丁目１５番６号","03-3617-8371","株式会社　アイリスファーマ　代表取締役　五十嵐　正治","手島　絢子","薬局現存"
"ポニー薬局","〒131－0041 墨田区八広二丁目５２番２３号","03-5247-1245","有限会社　ポニー　取締役　中村　国弘","小池　裕里","薬局現存"
"山田屋薬局","〒130－0004 墨田区本所一丁目４番１６号","03-3626-2468","有限会社　山田屋　代表取締役　永井　基美","永井　基美","薬局現存"
"ミツワ薬局　業平店","〒131－0033 墨田区向島三丁目４６番９号","03-3625-6061","株式会社　メリファ　古川　雅夫","原田　俊司","薬局現存"
"吉野薬局","〒131－0041 墨田区八広二丁目５４番２号","03-3611-3739","吉野　タカ子","吉野　タカ子","薬局現存"
"蔵王薬局　横網一丁目店","〒130－0015 墨田区横網一丁目１２番２６号","03-5819-9989","株式会社　蔵王薬局　代表取締役　粟野　信子","野﨑　和子","薬局現存"
"薬局マツモトキヨシ　錦糸町駅ビル店","〒130－0022 墨田区江東橋三丁目１４番５号　錦糸町ステーションビルテルミナ地下１階","03-3635-8699","株式会社　マツモトキヨシ　代表取締役　大田　貴雄","梅澤　悠一朗","薬局現存"
"ミキ薬局","〒130－0001 墨田区吾妻橋二丁目３番１５号","03-3622-8220","有限会社　ミキ薬局　代表取締役　三枝　邦子","蛯名　勇人","薬局現存"
"しんせい薬局　東向島","〒131－0032 墨田区東向島五丁目５番１２号","03-3617-8905","株式会社　キートス　代表取締役　森　忠史","尾之内　基寛","薬局現存"
"みずほ薬局","〒131－0043 墨田区立花一丁目２３番５ー１１７号","03-3618-3188","有限会社　ファイン　代表取締役　森田　和利","傅田　一登","薬局現存"
"あけぼの薬局　東向島店","〒131－0032 墨田区東向島六丁目５番８号","03-5655-6636","株式会社　アイリスファーマ　代表取締役　五十嵐　正治","片山　みほ","薬局現存"
"ひばり薬局","〒131－0043 墨田区立花五丁目２番６号","03-3611-1631","株式会社　フォーラル　代表取締役　松村　達","鰻池　将吾","薬局現存"
"薬局古川ファーマシー","〒130－0003 墨田区横川三丁目２番７号","03-3624-4872","株式会社　エムケイメディカル　代表取締役　古川　敎子","中谷　紀子","薬局現存"
"ひきふね薬局","〒131－0032 墨田区東向島二丁目１３番１５号","03-3618-3031","有限会社　Ｃ．Ｍ．Ｊ　代表取締役　窪田　真一","窪田　真一","薬局現存"
"あおぞら薬局","〒131－0032 墨田区東向島三丁目２９番１０号　ロングビル１階","03-3617-3739","有限会社　ＤＯＮ　代表取締役　中村　範子","中村　範子","薬局現存"
"さつき薬局","〒131－0032 墨田区東向島三丁目３６番８号","03-3619-2133","有限会社　はないち　代表取締役　外山　健一","市川　巧一","薬局現存"
"かちどき薬局　墨田店","〒131－0031 墨田区墨田二丁目６番１６号","03-3614-3245","かちどき薬品　株式会社　代表取締役　町田　剛","山城　幸子","薬局現存"
"ひまわり薬局","〒131－0045 墨田区押上一丁目１５番４号","03-3623-0770","有限会社　ひまわり薬局　代表取締役　平石　袈裟美","渡邉　浩一","薬局現存"
"さくら橋調剤薬局","〒131－0032 墨田区東向島三丁目３０番１８号","03-3610-4316","株式会社　エムケイメディカル　代表取締役　古川　敎子","岩永　拓昌","薬局現存"
"株式会社　フヂヤ薬局","〒131－0031 墨田区墨田五丁目３９番３号","03-3611-6519","株式会社　フヂヤ薬局　代表取締役　小川　美奈子","小川　英康","薬局現存"
"きりん薬局","〒130－0014 墨田区亀沢一丁目８番５号　花輪ビル１階","03-3624-9216","中嶋興産　株式会社　代表取締役　中島　政則","内山　周子","薬局現存"
"いちご薬局　石原店","〒130－0011 墨田区石原二丁目２１番１号","03-3622-6433","株式会社　医療システム研究所　代表取締役　三冨　由美","室田　まゆみ","薬局現存"
"オリーブ薬局","〒130－0012 墨田区太平三丁目１０番５号","03-5637-9123","有限会社　浅草オリーブ・健美館　代表取締役　髙井　正照","浅尾　一夫","薬局現存"
"わかば薬局","〒131－0031 墨田区墨田三丁目３１番７号","03-5631-6008","株式会社　スリーエスファルマ　代表取締役　内山　英明","星　百彦","薬局現存"
"ファーコス薬局　つつじ","〒131－0032 墨田区東向島六丁目６番３号","03-5631-5170","株式会社　ファーコス　代表取締役　島田　光明","細井　亜紀男","薬局現存"
"くるみ薬局","〒131－0032 墨田区東向島二丁目３１番１８号","03-3612-8275","株式会社　くるみ薬局　代表取締役　平石　裕美","平石　裕美","薬局現存"
"石川調剤薬局","〒130－0005 墨田区東駒形一丁目１９番３号","03-3621-3866","有限会社　石川薬局　代表取締役　石川　茂久","石川　文子","薬局現存"
"福薬局","〒131－0041 墨田区八広六丁目１番１号　シティコーポ隅田１０２","03-3611-3823","石本　眞理子","石本　眞理子","薬局現存"
"ヘルス薬局　両国店","〒130－0015 墨田区横網一丁目１０番１２号　高安ビル","03-5819-3715","株式会社　ヘルス企画　代表取締役　喜多　広志","細田　敬三","薬局現存"
"あおい薬局","〒130－0015 墨田区横網二丁目６番１１号　ライオンズマンション両国リバーステージ１０２","03-6914-3775","株式会社　エムケーメディック　代表取締役　村上　真実","鶴巻　忍","薬局現存"
"コトブキ調剤薬局　両国店","〒130－0015 墨田区横網一丁目１０番８号　ハイシティー両国横網１０１","03-5819-2860","株式会社　阪神調剤薬局　代表取締役　岩崎　壽毅","森安　亮太","薬局現存"
"ユニバーサルドラッグ薬局　鐘ヶ淵店","〒131－0031 墨田区墨田三丁目３１番１０号","03-5247-0395","ユニバーサルドラック　株式会社　代表取締役　篠田　一","長谷川　良夫","薬局現存"
"あおば薬局　住吉店","〒130－0022 墨田区江東橋五丁目３番１３号　写測ビル２階","03-5638-8701","株式会社　グリーンリーフ　石野　友一","石野　友一","薬局現存"
"薬局清水堂ファーマシー","〒130－0003 墨田区横川三丁目１番８号","03-3625-4193","清水　稔","清水　稔","薬局現存"
"第一薬局","〒130－0005 墨田区東駒形四丁目２４番３号　伊藤ビル１階","03-3623-6688","株式会社　第一薬局　代表取締役　田邉　浩朗","田邉　浩朗","薬局現存"
"スマイル薬局　墨田横川店","〒130－0003 墨田区横川五丁目８番２２号","03-6658-8765","株式会社　スマイルドラッグ　代表取締役　北原　直仁","熊谷　千尋","薬局現存"
"かちどき薬局　ひきふね店","〒131－0041 墨田区八広一丁目２番１４号","03-6657-3588","かちどき薬品　株式会社　代表取締役　町田　剛","増穗　暁子","薬局現存"
"中川薬局　吾妻橋店","〒130－0001 墨田区吾妻橋一丁目８番９号　マンスリーマンション浅草１階","03-5637-2321","株式会社　グラム　代表取締役　中川　広美","西田　涼子","薬局現存"
"コーガ堂東薬局","〒131－0032 墨田区東向島六丁目３１番４号","03-5631-9901","有限会社　マスダコーガ堂　代表取締役　増田　浩吉","増田　浩吉","薬局現存"
"エンゼル薬局","〒130－0013 墨田区錦糸三丁目４番２号","03-3624-4043","株式会社　エムケイメディカル　代表取締役　古川　敎子","重田　貴美子","薬局現存"
"両国調剤薬局","〒130－0021 墨田区緑一丁目１４番４号","03-5600-5068","有限会社　オダファーマシー　代表取締役　小田　壮州","長谷川　聡","薬局現存"
"クリエイト薬局　墨田業平店","〒130－0002 墨田区業平四丁目５番１０号","03-5619-4072","株式会社　クリエイトエス・ディー　廣瀨　泰三","飯嶋　奈々","薬局現存"
"エンゼル薬局　支店","〒130－0013 墨田区錦糸三丁目６番１１号","03-3624-4691","株式会社　エムケイメディカル　代表取締役　古川　敎子","延對寺　美代子","薬局現存"
"ドラッグセイムス墨田両国薬局","〒130－0026 墨田区両国二丁目１０番１４号　両国シティコア１階","03-5638-0731","株式会社　富士薬品　代表取締役　高柳　昌幸","飯塚　健二","薬局現存"
"あいわ薬局","〒131－0032 墨田区東向島六丁目５２番７号","03-6657-5902","株式会社　ウェルフェアーメディカル　代表取締役　松野　真史","石塚　正訓","薬局現存"
"錦糸薬局　イースト店","〒130－0013 墨田区錦糸三丁目２番１号　アルカイースト３階","03-5619-6112","有限会社　オダファーマシー　代表取締役　小田　壮州","澤井　真幸","薬局現存"
"パール薬局　石原店","〒130－0011 墨田区石原三丁目１９番１０号　ライオンズマンション両国第５　１０２号","03-5608-3140","有限会社　メディアート　代表取締役　住吉　稔","住吉　弘子","薬局現存"
"カエデ薬局","〒130－0026 墨田区両国三丁目２２番１１号　両国ウエルストンハイツ","03-3634-1758","有限会社　カエデ薬局　代表取締役　成田　髙成","成田　恵理","薬局現存"
"亀命堂薬局","〒130－0026 墨田区両国三丁目２４番１４号","03-3631-0024","有限会社　亀命堂薬局　代表取締役　稲葉　一郎","稲葉　一郎","薬局現存"
"共創未来　太平薬局","〒130－0012 墨田区太平三丁目１９番７号","03-3621-0873","株式会社　ファーマみらい　代表取締役　岡山　善郎","小松　和弘","薬局現存"
"さくら薬局　横網店","〒130－0015 墨田区横網二丁目６番１０号","03-5619-1198","クラフト　株式会社　代表取締役　大塚　吉史","織田　敦","薬局現存"
"本木薬局　曳舟店","〒131－0046 墨田区京島一丁目３９番１号　曳舟西ビューハイツ１２０号","03-6657-0616","みよの台薬局　株式会社　代表取締役　津城　尊利","鮫嶋　尚美","薬局現存"
"平石薬局","〒131－0046 墨田区京島一丁目２３番２号","03-3612-2692","有限会社　平石薬局　代表取締役　平石　袈裟美","平石　袈裟美","薬局現存"
"りんご薬局　立花店","〒131－0043 墨田区立花二丁目２５番７号","03-6657-0824","合同会社　ファルマプラン勝野　代表社員　勝野　純子","勝野　純子","薬局現存"
"ウエルシア薬局　墨田八広店","〒131－0041 墨田区八広一丁目３０番１０号","03-5631-5525","ウエルシア薬局　株式会社　代表取締役　水野　秀晴","飛田　史生","薬局現存"
"共創未来　墨東薬局","〒130－0022 墨田区江東橋四丁目２２番８号　長谷川ビル１～２階","03-5600-3787","株式会社　ファーマみらい　代表取締役　岡山　善郎","仲澤　啓大","薬局現存"
"たちばな薬局","〒131－0043 墨田区立花一丁目２３番５号　サンタウン立花１０３","03-3611-7479","有限会社　アオキドラック　代表取締役　青木　一郎","相馬　由加","薬局現存"
"アイエフ調剤薬局","〒130－0013 墨田区錦糸一丁目４番１３号","03-3626-0888","株式会社　フィアルコ　代表取締役　古川　雅夫","西道　由希子","薬局現存"
"関谷厚生堂薬局","〒130－0021 墨田区緑二丁目３番１５号","03-3631-0560","関谷　恒子","関谷　恒子","薬局現存"
"ライフバランス薬局","〒130－0012 墨田区太平三丁目１番１号","03-6240-4303","株式会社　ライフバランス　代表取締役　小縣　悦子","小縣　正幸","薬局現存"
"スギ薬局　江東橋店","〒130－0022 墨田区江東橋四丁目２２番７号","03-5669-0661","株式会社　スギ薬局　代表取締役　原　栄一","島田　英里","薬局現存"
"コスモファーマ薬局　江東橋店","〒130－8575 墨田区江東橋四丁目２２番１０号　深谷ビル１階","03-6659-5093","株式会社　コスモファーマ東京　代表取締役　藤田　愛里","青龍　良子","薬局現存"
"竹内薬局　森下店","〒130－0023 墨田区立川一丁目１１番５号","03-3633-4381","株式会社　三山堂　代表取締役　設楽　哲平","設楽　哲平","薬局現存"
"田辺薬局　墨田押上店","〒130－0003 墨田区横川三丁目１１番１４号　マツマルビル１階","03-5611-6161","田辺薬局　株式会社　代表取締役　佐藤　淳一","金正　有希子","薬局現存"
"両国薬局","〒130－0026 墨田区両国四丁目３２番１１号　永信両国ハイツ第一１０１号室","03-3846-0767","株式会社　ファーマみらい　代表取締役　岡山　善郎","斉藤　慶子","薬局現存"
"共創未来　両国駅前薬局","〒130－0026 墨田区両国四丁目３７番４号　大場ビル１階","03-3632-3400","株式会社　ファーマみらい　代表取締役　岡山　善郎","井　つぐみ","薬局現存"
"あすなろ薬局　スカイツリー駅前店","〒131－0033 墨田区向島一丁目３２番７号　ＫＳビル１階","03-5637-8370","ウェルファーマシー　株式会社　代表取締役　岩﨑　千恵","尾熊　やよい","薬局現存"
"あけぼの薬局　業平店","〒130－0002 墨田区業平五丁目１１番３号　押上スカイビューテラス１階","03-3626-4189","株式会社　アイリスファーマ　代表取締役　五十嵐　正治","武田　祥子","薬局現存"
"ナカタ薬局","〒131－0041 墨田区八広六丁目４９番２号","03-6657-5020","株式会社　ナカムラドラック　代表取締役　中村　達也","中村　達也","薬局現存"
"薬局くすりの福太郎　曳舟店","〒131－0046 墨田区京島一丁目２５番４号　曳舟ダイヤモンドマンション１階　１０５号Ａ","03-5631-4131","株式会社　くすりの福太郎　代表取締役　小川　久哉","山川　裕也","薬局現存"
"はなまる薬局","〒131－0032 墨田区東向島五丁目３番６号　ヴィラ・グレース１階　１０２号室","03-3610-9311","有限会社　はなまる薬局　代表取締役　月村　庄一","月村　庄一","薬局現存"
"アイセイ薬局　錦糸町北口店","〒130－0012 墨田区太平二丁目５番７号　　　","03-5819-4193","株式会社　アイセイ薬局　代表取締役　藤井　江美","山田　和正","薬局現存"
"薬局くすりの福太郎　京島１丁目店","〒131－0046 墨田区京島一丁目２番２号　イーストコア曳舟三番館　Ｆ１０１号室","03-5655-1129","株式会社　くすりの福太郎　代表取締役　小川　久哉","萱間　美帆","薬局現存"
"ファーマみらい東向島薬局","〒131－0032 墨田区東向島二丁目３９番１０号　ナンカイパート１　１０２","03-6657-0215","株式会社　ファーマみらい　代表取締役　岡山　善郎","北川　麻由","薬局現存"
"創健薬局","〒131－0045 墨田区押上三丁目１７番９号　","03-3612-1957","有限会社　創健調剤薬局　代表取締役　白石　弘子","白石　弘子","薬局現存"
"ユニバーサルドラッグ薬局　鐘ヶ淵駅前調剤店","〒131－0031 墨田区墨田三丁目３０番７号","03-3613-1200","ユニバーサルドラッグ　株式会社　代表取締役社長　篠田　一","木　泰久","薬局現存"
"こまがた薬局","〒130－0005 墨田区東駒形二丁目１９番４号","03-3829-5727","株式会社　ファルマオザワ　代表取締役　小澤　久美子","小澤　久美子","薬局現存"
"アイセイ薬局　曳舟店","〒131－0041 墨田区八広一丁目１５番２号","03-5630-6332","株式会社　アイセイ薬局　代表取締役　藤井　江美","宇田川　静香","薬局現存"
"本所薬局","〒130－0004 墨田区本所三丁目２３番８号","03-6456-1109","有限会社　オダファーマシー　代表取締役　小田　壮州","市川　清香","薬局現存"
"伊倉薬局","〒131－0032 墨田区東向島四丁目３２番９号","03-3613-5050","株式会社　ニューシップ　代表取締役　伊倉　新太郎","伊倉　新太郎","薬局現存"
"ミツワ薬局　両国駅前店","〒130－0015 墨田区横網一丁目３番１２号","03-3846-3426","株式会社　メリファ　代表取締役　古川　雅夫","小久江　尚子","薬局現存"
"クリエイト薬局　ＪＲ両国駅東口店","〒130－0015 墨田区横網一丁目３番３号","03-5625-3191","株式会社　クリエイトエス・ディー　代表取締役　廣瀨　泰三","松尾　吉泰","薬局現存"
"いろは調剤薬局","〒130－0002 墨田区業平四丁目２番１２号","03-6658-5173","平安ネット　株式会社　代表取締役　中村　岡","中村　滿里子","薬局現存"
"アイン薬局　錦糸町店","〒130－0012 墨田区太平四丁目１番２号","03-6284-1823","株式会社　アインファーマシーズ　代表取締役　大石　美也","恩田　幸憲","薬局現存"
"クオール薬局　向島店","〒131－0034 墨田区堤通一丁目１９番１１号　リバーサイド隅田ガーデンプラザ２階","03-5631-7089","クオール　株式会社　代表取締役　荒木　勲","土屋　麻美","薬局現存"
"クオール薬局　押上店","〒131－0044 墨田区文花一丁目１７番１７号　福島ビル１階","03-5247-1351","クオール　株式会社　代表取締役　荒木　勲","髙橋　美果","薬局現存"
"クオール薬局　八広店","〒131－0041 墨田区八広二丁目１番２号","03-5631-3189","クオール　株式会社　代表取締役　荒木　勲","佐藤　恵里菜","薬局現存"
"なりひら薬局","〒130－0002 墨田区業平三丁目１２番１号　宇野澤ビル１階","03-5619-4131","一般社団法人　メディックス　代表理事　金沢　英子","鶴町　雅子","薬局現存"
"３丁目薬局","〒131－0031 墨田区墨田三丁目４１番１５号","03-3613-6840","一般社団法人　メディックス　代表理事　金沢　英子","鈴木　正史","薬局現存"
"アイン薬局　両国店","〒130－0015 墨田区横網二丁目１番１１号","03-6456-1036","株式会社　アインファーマシーズ　代表取締役　大石　美也","鈴木　友洋","薬局現存"
"薬局タカサ　ＰＡＲＣＯ錦糸町店","〒130－8535 墨田区江東橋四丁目２７番１４号　錦糸町ＰＡＲＣＯ７階","03-6659-6533","株式会社　タカサ　代表取締役　鎗田　貞子","加藤　利香","薬局現存"
"うさぎ薬局　押上店","〒130－0002 墨田区業平三丁目１０番９号　業平北澤ビル","03-6658-4300","株式会社　ゆうファーマシーズ　代表取締役　中田　直樹","中田　直樹","薬局現存"
"たんぽぽ薬局","〒131－0031 墨田区墨田五丁目３６番８号","03-3613-1510","有限会社　たんぽぽ薬局　取締役　副田　行夫","吉野　隆章","薬局現存"
